endTime,artistName,trackName,msPlayed
2022-05-28 00:59,WOS,CULPA,861
2022-05-28 00:59,Bizarrap,"Trueno: Bzrp Freestyle Sessions, Vol. 6",1137
2022-05-28 01:03,Duki,Sin Culpa (feat.DrefQuila),244771
2022-05-28 01:06,Dillom,PELOTUDA,185905
2022-05-28 01:10,Paulo Londra,Nena Maldición (feat. Lenny Tavárez),228874
2022-05-28 01:13,Nicki Nicole,Colocao,179966
2022-05-28 01:17,Bhavi,Piso,219924
2022-05-28 01:24,Neo Pistea,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",453955
2022-05-28 01:28,WOS,TERRAZA,234949
2022-05-28 01:28,Tiago PZK,Salimo de Noche,13332
2022-05-28 01:29,Kidd Keo,Igot,743
2022-05-28 01:29,Dillom,A$AP,11192
2022-05-28 01:31,Divididos,Tengo,154893
2022-05-28 01:35,Dread Mar I,Tu Sin Mi,245055
2022-05-28 01:38,Las Pelotas,Será,181826
2022-05-28 01:42,Los Piojos,Tan Solo,240013
2022-05-28 01:46,Los Piojos,Como Alí,211653
2022-05-28 01:50,Ricardo Mollo,Spaghetti del Rock,231445
2022-05-28 01:54,Ricardo Mollo,Par Mil,247082
2022-05-28 01:56,Ricardo Mollo,Crimen,137790
2022-05-28 01:57,Las Pastillas del Abuelo,Que Carajo Es el Amor?,60093
2022-05-28 02:02,Los Rodriguez,Engánchate conmigo,308760
2022-05-28 02:08,Los Rodriguez,Diez años después,25163
2022-05-28 02:08,Los Rodriguez,Me estás atrapando otra vez - Edición Aniversario,315653
2022-05-28 02:11,Babasónicos,Y qué,192482
2022-05-28 02:14,Babasónicos,Yegua,149573
2022-05-28 02:18,Babasónicos,Como Eran Las Cosas,240520
2022-05-28 02:21,Babasónicos,La Lanza,190240
2022-05-28 02:25,Babasónicos,El Loco,185826
2022-05-28 02:28,Babasónicos,Putita,225706
2022-05-28 02:32,Babasónicos,Mimos Son Mimos,101152
2022-05-28 02:33,Babasónicos,Risa,15696
